"Date","Time","Close","y","AR1","AR2","AR3","EMA05","EMA10","MACD","CMO24","CMO48"
2015-08-20,18:00:00,1.1234,0.00042,0.00359,0.0034,0.00763,-0.00402585,-0.0071667,0.00164047,0.25,0
2015-08-20,21:00:00,1.12382,0.0035,0.00042,0.00401,0.00382,-0.00296395,-0.00620735,0.00166084,0.33333333,0.04166667
2015-08-21,00:00:00,1.12732,0.00057,0.0035,0.00392,0.00751,-0.00430935,-0.00794242,0.00179116,0.33333333,0.08333333
2015-08-21,03:00:00,1.12789,-0.00106,0.00057,0.00407,0.00449,-0.00325295,-0.00696476,0.00179249,0.41666667,0.125
2015-08-21,06:00:00,1.12683,0.00189,-0.00106,-0.00049,0.00301,-0.00146202,-0.00483121,0.00160479,0.33333333,0.125
2015-08-21,09:00:00,1.12872,0.00663,0.00189,0.00083,0.0014,-0.00223473,-0.00549922,0.00149306,0.41666667,0.16666667
2015-08-21,12:00:00,1.13535,-4e-05,0.00663,0.00852,0.00746,-0.00590987,-0.00992395,0.0017339,0.41666667,0.16666667
2015-08-21,15:00:00,1.13531,0.00242,-4e-05,0.00659,0.00848,-0.0039133,-0.00808692,0.00175347,0.41666667,0.16666667
2015-08-23,18:00:00,1.13773,0.00135,0.00242,0.00238,0.00901,-0.00422225,-0.00859662,0.00178634,0.41666667,0.16666667
2015-08-23,21:00:00,1.13908,0.00641,0.00135,0.00377,0.00373,-0.00371488,-0.00813819,0.00175345,0.41666667,0.16666667
2015-08-24,00:00:00,1.14549,0.00093,0.00641,0.00776,0.01018,-0.00674997,-0.01190311,0.00199999,0.41666667,0.20833333
2015-08-24,03:00:00,1.14642,0.00133,0.00093,0.00734,0.00869,-0.00512003,-0.01049987,0.00205448,0.41666667,0.20833333
2015-08-24,06:00:00,1.14775,0.0085,0.00133,0.00226,0.00867,-0.00430007,-0.00967903,0.00200657,0.5,0.25
2015-08-24,09:00:00,1.15625,0.00154,0.0085,0.00983,0.01076,-0.00853343,-0.0148738,0.00235,0.58333333,0.25
2015-08-24,12:00:00,1.15779,0.00184,0.00154,0.01004,0.01137,-0.00671567,-0.01342952,0.00247117,0.58333333,0.29166667
2015-08-24,15:00:00,1.15963,-0.00121,0.00184,0.00338,0.01188,-0.00570383,-0.01249329,0.00246021,0.58333333,0.29166667
2015-08-24,18:00:00,1.15842,-0.00091,-0.00121,0.00063,0.00217,-0.00299594,-0.00923183,0.00216675,0.58333333,0.29166667
2015-08-24,21:00:00,1.15751,-0.0035,-0.00091,-0.00212,-0.00028,-0.00139067,-0.00680882,0.00172581,0.5,0.29166667
2015-08-25,00:00:00,1.15401,0.00197,-0.0035,-0.00441,-0.00562,0.00140617,-0.00270726,0.00104633,0.5,0.29166667
2015-08-25,03:00:00,1.15598,-0.00228,0.00197,-0.00153,-0.00244,-0.00037594,-0.0038269,0.00059966,0.5,0.29166667
2015-08-25,06:00:00,1.1537,-0.00605,-0.00228,-0.00031,-0.00381,0.00126932,-0.00126569,4.972e-05,0.41666667,0.29166667
2015-08-25,09:00:00,1.14765,-0.00673,-0.00605,-0.00833,-0.00636,0.0048795,0.00391439,-0.00077681,0.33333333,0.25
2015-08-25,12:00:00,1.14092,0.00125,-0.00673,-0.01278,-0.01506,0.00773962,0.00870899,-0.001775,0.25,0.25
2015-08-25,15:00:00,1.14217,0.0094,0.00125,-0.00548,-0.01153,0.00432636,0.00610277,-0.00231516,0.33333333,0.25
2015-08-25,18:00:00,1.15157,0.00129,0.0094,0.01065,0.00392,-0.00338248,-0.00269779,-0.00201451,0.33333333,0.29166667
2015-08-25,21:00:00,1.15286,-0.00068,0.00129,0.01069,0.01194,-0.00311503,-0.00326278,-0.0017156,0.33333333,0.33333333
2015-08-26,00:00:00,1.15218,-0.00217,-0.00068,0.00061,0.01001,-0.00162341,-0.00211323,-0.00155526,0.25,0.29166667
2015-08-26,03:00:00,1.15001,-0.00466,-0.00217,-0.00285,-0.00156,0.00036435,4.64e-05,-0.00158171,0.16666667,0.29166667
2015-08-26,06:00:00,1.14535,-0.00778,-0.00466,-0.00683,-0.00751,0.00334951,0.00385064,-0.00187917,0.16666667,0.25
2015-08-26,09:00:00,1.13757,0.00138,-0.00778,-0.01244,-0.01461,0.00741963,0.00951593,-0.00252571,0.08333333,0.25
2015-08-26,12:00:00,1.13895,-0.0043,0.00138,-0.0064,-0.01106,0.00402637,0.00665662,-0.00276684,0.08333333,0.25
2015-08-26,15:00:00,1.13465,-0.00306,-0.0043,-0.00292,-0.0107,0.00555086,0.00896446,-0.0030974,0.08333333,0.25
2015-08-26,18:00:00,1.13159,0.00158,-0.00306,-0.00736,-0.00598,0.00574052,0.00983815,-0.00338049,0,0.20833333
2015-08-26,21:00:00,1.13317,0.00142,0.00158,-0.00148,-0.00578,0.00277363,0.00675662,-0.00331517,0,0.20833333
2015-08-27,00:00:00,1.13459,-0.00159,0.00142,0.003,-6e-05,0.00090237,0.00436628,-0.00303755,0,0.20833333
2015-08-27,03:00:00,1.133,-0.00425,-0.00159,-0.00017,0.00141,0.00166153,0.00487327,-0.00282658,-0.08333333,0.16666667
2015-08-27,06:00:00,1.12875,-0.00441,-0.00425,-0.00584,-0.00442,0.00394097,0.00746444,-0.00283177,-0.16666667,0.16666667
2015-08-27,09:00:00,1.12434,-0.00074,-0.00441,-0.00866,-0.01025,0.00556726,0.00971541,-0.00297592,-0.25,0.16666667
2015-08-27,12:00:00,1.1236,0.00267,-0.00074,-0.00515,-0.0094,0.00420479,0.00855437,-0.00295863,-0.33333333,0.125
2015-08-27,15:00:00,1.12627,-0.00161,0.00267,0.00193,-0.00248,0.00102314,0.00481444,-0.00261668,-0.33333333,0.125
2015-08-27,18:00:00,1.12466,-0.00096,-0.00161,0.00106,0.00032,0.00175538,0.00525631,-0.00235635,-0.33333333,0.125
2015-08-27,21:00:00,1.1237,0.00278,-0.00096,-0.00257,1e-04,0.0018102,0.00508602,-0.00211397,-0.33333333,0.08333333
2015-08-28,00:00:00,1.12648,-0.00032,0.00278,0.00182,0.00021,-0.00064658,0.0018867,-0.00165206,-0.25,0.125
2015-08-28,03:00:00,1.12616,0.00192,-0.00032,0.00246,0.0015,-0.00021777,0.00180543,-0.00127082,-0.33333333,0.08333333
2015-08-28,06:00:00,1.12808,-0.0035,0.00192,0.0016,0.00438,-0.00142523,-9.378e-05,-0.00081429,-0.25,0.08333333
2015-08-28,09:00:00,1.12458,-0.00698,-0.0035,-0.00158,-0.0019,0.00138313,0.00278686,-0.00067854,-0.25,0.04166667
2015-08-28,12:00:00,1.1176,0.00069,-0.00698,-0.01048,-0.00856,0.00557537,0.00799102,-0.00097149,-0.25,0
2015-08-28,15:00:00,1.11829,-0.00071,0.00069,-0.00629,-0.00979,0.00325686,0.00597351,-0.0010261,-0.25,0.04166667
2015-08-30,18:00:00,1.11758,0.00468,-0.00071,-2e-05,-0.007,0.00264452,0.00546828,-0.00101547,-0.33333333,0
2015-08-30,21:00:00,1.12226,0.00257,0.00468,0.00397,0.00466,-0.00135704,0.00064491,-0.0006182,-0.33333333,0
2015-08-31,00:00:00,1.12483,-0.00211,0.00257,0.00725,0.00654,-0.00261808,-0.00157512,-0.00013268,-0.25,0
2015-08-31,03:00:00,1.12272,-0.00217,-0.00211,0.00046,0.00514,-0.00033877,0.00043758,8.435e-05,-0.25,-0.04166667
2015-08-31,06:00:00,1.12055,0.00228,-0.00217,-0.00428,-0.00171,0.00122077,0.00213342,0.00011769,-0.25,-0.04166667
2015-08-31,09:00:00,1.12283,-0.0034,0.00228,0.00011,-0.002,-0.00070621,-0.00011997,0.00031788,-0.16666667,-0.04166667
2015-08-31,12:00:00,1.11943,0.00388,-0.0034,-0.00112,-0.00329,0.00179581,0.00268361,0.00024893,-0.25,-0.08333333
2015-08-31,15:00:00,1.12331,-0.00242,0.00388,0.00048,0.00276,-0.00138951,-0.00097891,0.00047894,-0.16666667,-0.04166667
2015-08-31,18:00:00,1.12089,0.0033,-0.00242,0.00146,-0.00194,0.00068694,0.00117902,0.00048113,-0.16666667,-0.08333333
2015-08-31,21:00:00,1.12419,0.00276,0.0033,0.00088,0.00476,-0.00174209,-0.00173539,0.00070434,-0.16666667,-0.08333333
2015-09-01,00:00:00,1.12695,0.00118,0.00276,0.00606,0.00364,-0.00300145,-0.0036781,0.00101833,-0.16666667,-0.08333333
2015-09-01,03:00:00,1.12813,-0.00223,0.00118,0.00394,0.00724,-0.00278768,-0.00397485,0.0012696,-0.08333333,-0.08333333
2015-09-01,06:00:00,1.1259,-1e-04,-0.00223,-0.00105,0.00171,-0.00037184,-0.00142765,0.00124787,-0.08333333,-0.125
2015-09-01,09:00:00,1.1258,0.00033,-1e-04,-0.00233,-0.00115,-0.00018128,-0.00108631,0.00118926,-0.08333333,-0.16666667
2015-09-01,12:00:00,1.12613,0.00299,0.00033,0.00023,-0.002,-0.0003409,-0.00115885,0.00113534,0,-0.16666667
2015-09-01,15:00:00,1.12912,0.00151,0.00299,0.00332,0.00322,-0.00222065,-0.00339456,0.00125435,0,-0.16666667
2015-09-01,18:00:00,1.13063,-0.00408,0.00151,0.0045,0.00483,-0.00248716,-0.00401287,0.0013782,0.08333333,-0.125
2015-09-01,21:00:00,1.12655,0.00105,-0.00408,-0.00257,0.00042,0.00106184,5.488e-05,0.00113871,0.08333333,-0.125
2015-09-02,00:00:00,1.1276,0.00048,0.00105,-0.00303,-0.00152,7.84e-06,-0.00081424,0.00100884,0.08333333,-0.08333333
2015-09-02,03:00:00,1.12808,-0.00176,0.00048,0.00153,-0.00255,-0.00031482,-0.00105897,0.00091579,0.16666667,-0.08333333
2015-09-02,06:00:00,1.12632,-0.00229,-0.00176,-0.00128,-0.00023,0.0009634,0.00057352,0.00070567,0.08333333,-0.08333333
2015-09-02,09:00:00,1.12403,7e-05,-0.00229,-0.00405,-0.00357,0.00216888,0.00234283,0.00039776,0.08333333,-0.08333333
2015-09-02,12:00:00,1.1241,-1e-04,7e-05,-0.00222,-0.00398,0.0013992,0.00185954,0.00019439,0.16666667,-0.04166667
2015-09-02,15:00:00,1.124,-0.0016,-1e-04,-3e-05,-0.00232,0.00099942,0.00160321,5.592e-05,0.08333333,-0.08333333
2015-09-02,18:00:00,1.1224,-9e-04,-0.0016,-0.0017,-0.00163,0.00173289,0.00262076,-0.00013047,0.08333333,-0.125
2015-09-02,21:00:00,1.1215,0.00052,-9e-04,-0.0025,-0.0026,0.00175521,0.00288058,-0.00029215,0,-0.16666667
2015-09-03,00:00:00,1.12202,5e-04,0.00052,-0.00038,-0.00198,0.00082342,0.00193133,-0.00033859,0,-0.125
2015-09-03,03:00:00,1.12252,0.00042,5e-04,0.00102,0.00012,0.00021556,0.00117104,-0.00031086,0.08333333,-0.08333333
2015-09-03,06:00:00,1.12294,-0.01175,0.00042,0.00092,0.00144,-0.00013634,0.00061444,-0.0002425,0.16666667,-0.04166667
2015-09-03,09:00:00,1.11119,-0.00081,-0.01175,-0.01133,-0.01083,0.00774239,0.01011631,-0.00092836,0.08333333,-0.04166667
2015-09-03,12:00:00,1.11038,0.00107,-0.00081,-0.01256,-0.01214,0.00570154,0.00893966,-0.00135071,0.08333333,-0.08333333
